,BikeTypeCat,AgeBandCat,IncomeBandCat,MaritalStatusCat,OccupationCat,CommuteDistanceCat,GenderCat,ChildrenAtHomeCat,CountryRegionCodeCat,HouseOwnerFlagCat,EducationCat
69,1,2,0,1,2,1,0,1,0,0,2
70,0,3,1,1,3,0,1,1,0,0,0
71,1,4,1,0,3,1,1,0,5,0,2
72,1,4,1,0,3,3,0,1,1,1,1
73,1,4,1,0,3,1,1,0,5,0,2
74,1,3,1,0,4,3,0,1,5,1,0
75,1,2,0,0,0,0,1,0,0,1,0
76,1,2,0,1,0,0,1,0,0,1,0
77,1,4,1,0,4,4,1,0,0,1,3
78,0,5,0,0,0,4,1,0,0,1,3
79,1,4,2,0,3,0,1,1,2,1,3
80,1,2,0,0,2,0,1,0,0,0,3
81,0,5,0,1,0,4,1,0,0,1,3
82,1,4,1,1,4,0,1,0,0,0,3
83,1,2,0,1,2,1,0,0,3,0,2
84,1,4,1,1,4,1,0,0,0,0,3
85,1,2,0,0,0,0,1,0,0,1,0
86,1,2,1,0,3,2,1,0,0,1,0
87,1,4,1,0,3,1,0,1,5,0,2
88,1,2,0,1,0,3,1,0,3,1,3
89,1,2,0,1,2,3,1,0,3,1,2
90,0,4,0,1,2,0,1,1,2,0,2
91,0,3,2,0,3,4,0,1,4,0,3
92,0,5,0,0,3,2,1,0,5,1,2
93,0,5,0,1,0,2,0,0,5,0,4
94,1,5,0,0,0,4,1,0,0,0,3
95,1,3,3,1,3,0,1,1,0,1,0
96,0,3,1,0,3,1,1,0,0,1,0
97,0,5,0,0,0,1,1,0,0,1,3
98,1,3,2,0,1,3,0,1,5,1,0
99,1,2,0,1,0,0,1,0,3,1,0
100,1,5,0,0,4,4,1,0,0,1,3
101,1,2,0,1,2,3,0,1,0,0,2
102,1,3,2,0,1,2,1,1,0,1,2
103,1,3,0,0,0,1,0,0,1,1,3
104,1,4,1,1,3,2,1,1,4,1,2
105,1,2,0,1,2,3,1,0,3,1,2
106,1,3,1,0,3,4,0,0,1,1,3
107,1,4,1,0,3,3,0,1,4,0,3
108,1,3,2,1,1,1,1,0,5,1,0
109,1,2,0,0,0,0,0,0,0,1,0
110,1,2,0,0,2,3,1,0,3,0,4
111,1,4,2,0,3,4,1,1,2,0,3
112,1,4,1,1,4,4,1,0,0,1,3
113,0,2,1,1,3,1,0,1,0,1,0
114,0,5,0,1,0,1,1,0,0,0,3
115,1,4,2,1,3,4,0,1,5,1,3
116,0,3,0,1,2,0,1,1,3,0,2
117,0,5,0,0,3,2,1,0,5,1,2
118,1,4,1,1,4,1,0,0,0,0,3
119,1,4,1,1,4,4,0,0,0,1,3
120,1,2,0,1,2,3,0,1,0,0,2
121,1,2,0,1,0,0,0,0,0,1,0
122,0,3,1,1,3,4,0,0,0,1,0
123,1,4,1,0,3,2,1,1,5,1,2
124,1,3,3,1,1,0,1,1,5,0,1
125,1,3,1,0,1,4,0,0,5,1,1
126,1,4,3,1,1,0,1,1,4,0,3
127,1,2,1,0,4,3,0,1,5,1,0
128,1,4,1,1,4,1,1,0,0,0,3
129,0,3,1,1,3,2,0,1,0,1,0
130,1,4,1,1,4,0,1,0,0,0,3
131,1,3,1,0,3,4,1,0,5,1,2
132,1,4,1,0,3,4,1,0,5,1,2
133,1,5,1,0,1,1,1,0,0,1,1
134,0,5,0,0,0,1,0,0,0,1,3
135,1,4,1,1,3,2,1,1,4,1,2
136,1,3,0,0,4,1,0,0,1,1,1
137,0,3,0,1,3,0,1,0,3,1,0
138,0,2,0,1,3,1,0,0,1,0,2
139,1,3,1,1,4,0,0,0,1,0,3
140,0,3,1,1,3,4,1,0,0,0,0
141,1,4,2,1,3,4,0,1,5,1,3
142,1,5,1,1,1,4,0,0,5,1,1
143,1,3,0,1,0,0,0,0,3,1,0
144,1,4,2,0,3,4,1,1,2,1,3
145,1,3,2,0,1,2,1,1,0,1,2
146,1,3,1,1,4,4,0,0,1,0,3
147,1,4,2,1,3,4,0,1,3,1,3
148,1,2,1,0,3,0,1,0,5,1,1
149,1,5,0,0,1,0,0,0,0,1,0
150,1,3,0,0,0,0,1,0,2,1,0
151,1,5,0,1,4,2,0,1,5,1,4
152,1,4,2,0,3,4,0,1,3,1,3
153,1,4,1,1,4,4,1,0,0,1,2
154,0,5,0,0,4,4,1,0,0,1,3
155,1,4,1,1,3,1,0,0,0,0,2
156,1,5,0,0,1,0,1,0,0,0,0
157,1,5,0,0,1,0,0,0,0,0,0
158,1,5,1,0,3,2,1,1,5,1,3
159,1,3,0,0,0,0,0,0,2,1,0
160,1,5,0,0,1,0,1,0,0,0,0
161,0,5,0,0,4,1,0,0,0,1,2
162,0,5,0,0,4,4,0,0,0,1,2
163,1,3,0,1,2,1,0,0,4,0,2
164,1,3,1,1,3,0,0,0,5,0,1
165,1,2,1,0,1,0,0,0,0,1,1
166,1,4,1,0,3,4,0,0,0,1,0
167,1,4,1,1,4,4,0,0,0,1,2
168,1,3,2,1,1,0,0,1,0,1,4
169,1,5,3,0,3,2,0,1,4,0,3
170,1,3,1,0,3,0,0,1,0,1,0
171,1,3,1,1,4,3,0,1,5,1,0
172,0,5,0,0,4,4,0,0,0,1,3
173,1,3,3,1,1,0,0,0,0,0,1
174,1,3,1,1,4,0,1,0,0,0,3
175,1,4,1,1,4,0,0,0,0,0,3
176,0,5,0,0,4,1,0,0,0,0,2
177,1,2,0,1,4,0,0,0,5,0,2
178,1,5,0,1,0,2,0,0,5,0,4
179,1,3,1,1,3,0,0,0,0,0,0
180,1,3,2,1,3,2,0,1,0,1,4
181,1,3,0,1,2,1,0,0,4,0,4
182,1,5,2,0,1,2,0,1,4,1,3
183,1,2,0,0,4,1,1,1,4,1,0
184,0,5,0,0,0,1,0,1,0,1,4
185,1,3,1,1,3,0,0,0,5,0,1
186,1,4,1,1,4,4,0,0,0,1,2
187,0,5,0,0,0,1,0,1,0,1,4
188,0,5,0,0,4,4,0,0,0,1,2
189,1,5,1,1,1,3,0,1,5,0,0
190,1,3,2,1,1,1,1,1,5,0,1
191,1,4,1,1,3,4,0,0,0,1,0
192,1,5,1,1,1,0,0,0,0,0,1
193,0,5,0,0,0,4,0,1,0,1,4
194,0,5,0,0,0,4,1,0,0,1,3
195,1,5,1,0,3,3,1,1,5,0,3
196,1,2,1,0,3,0,0,0,5,1,1
197,1,2,1,0,1,0,1,0,5,0,0
198,1,4,1,0,3,0,1,0,0,1,0
199,1,4,1,0,4,1,1,0,0,0,2
200,1,3,1,0,3,3,1,0,1,1,1
201,1,4,1,1,1,3,1,1,5,0,0
202,1,3,0,0,4,0,1,1,4,1,0
203,1,3,0,0,0,0,0,0,2,1,1
204,1,3,1,0,3,3,0,0,5,1,1
205,1,4,1,0,4,4,0,0,0,1,3
206,1,5,1,1,1,3,1,1,5,0,0
207,1,2,1,1,4,0,0,1,5,0,0
208,0,5,0,0,4,4,1,0,0,1,2
209,1,4,2,0,1,4,0,1,0,1,1
210,1,4,0,1,1,0,1,0,0,0,0
211,1,5,0,1,0,1,1,0,5,0,4
212,1,3,0,0,0,0,1,0,2,1,0
213,1,5,0,0,2,0,0,0,2,1,3
214,1,3,1,1,1,1,1,0,5,1,0
215,1,4,1,1,1,3,1,1,5,0,0
216,0,4,3,1,1,0,0,1,4,0,0
217,1,3,2,0,1,1,0,1,5,1,1
218,0,4,1,1,1,3,0,1,5,0,0
219,1,4,1,1,4,1,1,0,0,0,2
220,1,3,2,0,3,2,1,1,0,1,4
221,1,5,0,0,0,4,0,0,0,0,3
222,1,5,0,0,3,1,0,0,5,0,3
223,1,4,1,0,3,3,1,1,1,0,2
224,1,3,1,1,4,4,0,0,5,1,3
225,1,5,0,1,3,2,1,0,5,1,2
226,0,5,0,0,4,4,1,0,0,1,2
227,1,5,1,1,3,3,1,1,5,0,3
228,1,2,1,0,4,4,0,0,5,1,3
229,1,5,1,1,1,3,1,1,5,0,0
230,1,3,1,0,3,3,0,0,5,1,1
231,1,3,0,0,0,0,0,0,2,1,0
232,1,3,1,1,3,0,1,0,5,0,1
233,1,4,1,0,4,0,0,0,1,1,3
234,1,5,0,0,1,0,0,0,0,1,0
235,1,2,0,0,2,0,0,0,0,0,3
236,1,5,0,1,3,1,1,0,5,0,3
237,1,3,1,1,4,2,0,1,5,0,0
238,1,2,0,0,4,1,0,1,4,1,0
239,1,5,0,1,2,1,0,0,2,1,3
240,0,5,0,1,0,4,0,0,0,0,3
241,1,4,0,1,0,4,1,0,0,1,3
242,1,2,1,1,4,4,0,0,5,1,3
243,1,3,0,1,2,1,1,0,4,0,4
244,0,4,2,1,3,0,0,1,4,0,3
245,1,3,1,1,1,1,1,1,5,1,0
246,0,5,1,0,3,3,1,1,5,1,3
247,1,2,1,1,3,0,0,0,0,0,0
248,1,5,0,1,0,4,1,0,0,1,3
249,0,5,0,0,4,1,0,0,0,1,2
250,1,2,0,1,4,0,0,0,1,0,2
251,0,3,1,1,3,3,0,0,1,1,0
252,1,4,1,1,3,1,0,0,0,0,2
253,1,3,1,1,1,4,0,0,0,0,0
254,1,2,1,1,1,0,1,0,0,1,1
255,1,4,1,0,4,0,1,0,1,1,3
256,1,2,1,1,1,0,0,0,0,1,1
257,0,5,0,0,4,4,1,0,0,1,2
258,1,4,1,0,3,3,1,1,3,0,2
259,1,3,1,1,4,0,0,0,4,0,1
260,0,4,3,0,3,0,0,1,4,1,3
261,1,3,1,0,4,0,1,0,0,1,3
262,1,3,1,0,4,0,0,0,0,1,3
263,1,4,1,1,3,3,1,0,0,1,0
264,1,3,1,0,1,0,1,0,0,1,1
265,1,5,1,1,1,1,1,0,0,0,1
266,0,5,1,0,1,2,0,0,5,1,0
267,1,3,0,1,2,0,0,1,3,1,2
268,0,3,1,0,1,1,1,0,0,1,1
269,1,5,0,0,1,0,1,0,0,0,0
270,1,2,0,0,4,0,1,1,4,1,0
271,1,2,0,0,4,0,0,1,4,1,0
272,1,3,0,1,2,1,0,0,4,0,4
273,0,3,0,0,3,0,0,0,3,0,0
274,1,3,1,1,3,3,0,0,5,1,1
275,0,5,1,1,1,3,0,1,5,0,0
276,1,5,0,0,1,0,1,0,0,1,0
277,1,3,0,1,2,1,0,0,2,1,3
278,1,3,1,0,1,0,0,1,0,1,1
279,1,2,0,1,0,1,0,1,4,1,3
280,1,3,2,0,1,2,1,1,0,1,2
281,1,3,0,1,2,0,0,1,2,1,2
282,1,3,0,0,0,0,0,0,2,1,0
283,1,4,0,1,0,0,1,0,2,1,0
284,1,3,1,1,4,0,0,0,2,1,1
285,1,3,1,1,4,3,0,1,5,1,0
286,0,5,0,0,4,4,0,0,0,1,3
287,1,4,1,1,4,0,0,0,0,0,3
288,1,5,1,0,1,1,1,0,0,0,1
289,1,3,1,1,4,4,1,0,5,1,3
290,1,5,1,1,3,3,0,1,5,0,3
291,0,4,3,0,3,4,0,1,4,1,3
292,1,3,1,1,1,1,1,1,1,1,0
293,1,3,1,1,3,3,1,0,5,1,1
294,0,5,1,1,1,2,1,0,5,1,0
295,1,3,2,0,1,0,0,0,0,0,1
296,1,4,0,0,0,0,0,0,2,1,1
297,0,3,0,1,3,0,1,0,3,0,0
298,0,4,1,1,3,0,1,1,1,0,1
299,1,3,2,1,1,1,0,0,0,0,1
300,1,4,1,0,4,1,1,0,0,0,2
301,0,5,0,0,0,1,1,1,0,1,4
302,1,4,0,0,4,0,1,0,4,1,0
303,1,3,1,1,3,0,0,0,5,0,0
304,1,5,1,0,1,4,1,0,1,1,1
305,1,4,1,1,3,0,0,0,0,0,0
306,1,3,0,0,0,1,1,0,4,1,0
307,1,3,0,1,2,0,1,1,4,1,2
308,1,4,0,0,0,0,0,0,3,1,1
309,1,3,0,1,2,0,1,1,2,1,2
310,1,2,0,1,4,1,1,0,1,0,2
311,1,2,1,1,3,1,1,0,5,0,3
312,1,3,1,1,3,4,0,0,0,1,0
313,1,4,1,1,3,4,0,0,0,1,0
314,1,4,1,0,4,0,1,0,0,1,3
315,1,3,1,1,3,0,1,0,0,0,0
316,1,3,1,0,4,3,1,0,5,1,3
317,1,2,2,0,1,2,1,1,0,1,3
318,1,4,1,0,4,0,0,0,0,1,3
319,1,2,0,1,2,1,1,0,0,1,3
320,0,4,0,0,2,0,0,0,4,1,0
321,1,4,1,0,4,3,0,0,5,1,3
322,1,3,1,0,4,3,0,0,5,1,3
323,1,3,1,1,3,0,1,0,5,0,3
324,0,4,1,0,3,3,1,1,5,1,3
325,1,2,2,1,1,1,1,0,0,1,1
326,1,5,0,0,2,0,0,0,2,0,2
327,1,4,1,0,4,0,1,0,5,1,3
328,1,4,1,0,4,0,0,0,5,1,3
329,1,3,0,0,0,0,0,0,4,1,0
330,1,3,1,0,4,3,1,0,5,1,3
331,1,4,1,1,3,2,0,1,5,1,1
332,1,2,0,0,4,4,1,0,5,1,3
333,1,2,2,0,1,3,1,0,0,1,1
334,1,3,0,1,3,0,1,0,5,0,0
335,1,3,1,0,3,0,0,0,0,1,0
336,1,2,0,0,2,0,1,0,3,1,1
337,1,3,1,1,4,0,1,0,5,0,3
338,1,4,1,0,4,3,0,0,5,1,3
339,1,2,0,0,4,4,0,0,5,1,3
340,1,3,1,1,3,0,0,0,5,1,1
341,1,3,0,1,2,0,1,1,4,1,2
342,1,2,1,1,3,4,0,0,0,0,0
343,1,3,1,1,3,2,1,0,0,1,0
344,1,4,0,0,2,0,0,0,3,1,0
345,0,4,0,0,2,0,1,0,4,1,0
346,1,2,1,1,4,4,0,0,5,1,3
347,0,4,1,0,3,3,0,1,5,1,3
348,0,4,1,0,4,1,1,0,0,1,3
349,1,3,1,0,3,3,0,0,0,1,0
350,1,3,1,1,3,4,0,0,0,1,0
351,1,4,1,1,3,3,1,0,5,1,0
352,1,3,1,0,3,2,1,0,0,1,0
353,1,2,1,0,3,3,0,1,0,1,0
354,0,5,1,0,3,3,1,1,5,0,3
355,1,2,1,1,3,0,0,0,0,0,0
356,1,3,0,1,0,1,1,1,4,1,3
357,1,3,0,1,0,1,1,1,4,1,3
358,0,3,1,0,4,4,1,0,0,1,3
359,1,3,2,0,3,2,0,1,0,1,4
360,1,3,0,1,2,0,1,1,2,1,2
361,1,4,1,0,4,0,0,0,5,1,3
362,1,3,1,0,3,3,0,0,0,1,0
363,1,3,2,0,3,2,1,1,0,1,4
364,1,3,1,0,3,3,1,0,0,1,0
365,1,2,1,0,4,4,0,0,5,1,3
366,1,3,1,1,4,0,1,1,5,0,0
367,1,2,2,0,1,2,0,1,0,1,4
368,1,3,2,1,1,0,0,0,0,0,1
369,1,5,0,1,2,1,1,0,3,1,3
370,1,4,1,0,3,3,0,0,5,1,0
371,1,3,1,0,4,3,1,1,5,1,0
372,1,3,0,1,3,3,1,0,5,0,0
373,1,3,1,0,3,3,1,1,0,1,0
374,0,4,3,0,3,4,0,1,4,1,2
375,1,4,1,0,4,0,1,0,5,1,3
376,0,5,1,1,1,2,0,1,5,1,0
377,1,3,2,0,1,2,1,1,0,0,2
378,1,3,0,0,0,0,1,0,4,1,0
379,1,3,1,1,3,0,0,0,5,0,0
380,1,3,1,0,4,3,0,0,5,1,3
381,1,5,0,0,1,4,1,0,0,1,0
382,1,4,1,1,3,3,1,0,0,1,0
383,1,3,1,1,4,3,1,0,5,0,3
384,1,2,1,0,4,0,1,0,2,1,1
385,1,3,1,1,4,4,1,1,5,0,0
386,1,4,1,0,4,1,1,0,1,0,4
387,1,3,1,1,4,3,0,1,5,1,0
388,0,4,1,0,4,4,1,0,0,1,3
389,1,2,2,0,3,2,0,1,0,1,4
390,1,3,2,0,3,2,1,1,0,1,4
391,1,2,0,0,4,1,1,1,4,1,0
392,1,4,0,0,4,3,0,1,5,1,2
393,1,3,0,1,2,3,0,0,4,0,2
394,1,3,0,1,2,0,0,1,3,0,3
395,0,3,0,1,0,0,0,1,3,1,3
396,0,4,0,0,0,0,0,0,4,1,1
397,0,5,1,0,3,3,0,1,5,1,3
398,1,2,2,0,1,2,1,1,0,1,3
399,1,2,0,0,0,1,1,0,3,1,0
400,1,4,1,0,4,0,1,0,0,0,3
401,1,2,0,1,2,1,1,0,4,0,4
402,1,3,1,0,4,3,0,0,5,1,3
403,1,5,1,0,1,1,0,0,1,1,1
404,1,4,1,1,3,3,0,0,5,1,1
405,1,3,2,1,1,3,1,0,0,1,1
406,1,4,1,1,3,0,0,0,0,0,0
407,1,4,0,0,2,0,1,0,3,1,0
408,1,5,2,0,1,4,0,1,2,0,0
409,1,3,1,1,3,3,0,0,5,1,0
410,1,3,1,0,4,3,0,0,5,1,3
411,1,2,1,0,3,0,0,0,0,1,0
412,1,4,1,0,4,0,0,0,0,1,3
413,1,2,0,1,2,1,0,0,0,1,3
414,1,3,0,0,2,0,1,0,3,1,0
415,1,2,1,0,3,2,0,0,0,1,0
416,1,3,2,0,1,2,1,1,0,0,3
417,1,2,0,0,4,1,1,1,4,1,0
418,1,4,1,1,4,3,1,0,5,1,3
419,1,3,1,1,3,3,0,0,5,1,1
420,1,3,0,0,0,3,1,1,4,1,0
421,1,2,1,0,4,4,1,0,5,1,3
422,1,2,1,1,3,1,1,0,5,0,2
423,1,2,1,0,3,0,0,0,5,1,1
424,1,2,1,0,3,2,1,0,0,1,0
425,1,3,0,0,2,0,0,0,3,1,1
426,1,5,2,0,1,4,1,1,2,1,0
427,1,3,1,0,4,0,1,0,5,1,3
428,1,4,1,1,3,0,0,0,5,0,1
429,1,4,1,0,4,4,0,0,1,1,4
430,1,5,0,0,0,0,0,0,4,1,0
431,1,3,1,0,3,0,0,1,0,1,0
432,1,3,1,0,3,3,1,1,0,1,0
433,1,2,0,0,2,3,1,0,0,1,3
434,1,2,0,1,0,0,1,0,0,1,0
435,1,3,0,0,3,0,1,0,2,1,0
436,1,4,0,0,4,0,1,0,4,1,0
437,1,3,1,1,4,0,0,1,5,0,0
438,1,3,0,1,2,0,0,1,4,1,2
439,1,2,0,0,4,0,0,1,4,1,0
440,1,3,0,0,2,1,0,1,3,1,3
441,1,3,1,1,4,4,1,1,5,0,0
442,1,3,1,0,3,3,1,1,5,1,0
443,1,3,2,0,1,2,1,1,0,1,2
444,1,2,1,0,1,0,0,0,0,1,1
445,1,3,2,1,1,0,1,0,0,0,1
446,1,3,1,0,3,3,0,0,0,1,0
447,1,3,1,1,3,4,0,0,0,1,0
448,1,4,2,1,3,0,0,1,4,0,3
449,1,4,1,1,3,1,1,0,5,0,2
450,1,2,0,1,0,0,0,0,3,1,1
451,0,4,1,1,4,1,0,0,0,0,2
452,1,4,0,1,2,3,1,0,3,1,3
453,0,4,1,1,4,4,1,0,0,1,3
454,1,2,0,1,2,0,0,0,0,0,3
455,1,4,0,0,0,3,1,0,5,1,2
456,1,2,0,0,0,0,0,0,0,1,0
457,1,2,0,1,2,0,0,0,0,0,3
458,1,4,1,1,3,0,0,0,5,0,0
459,1,3,2,1,3,4,1,1,5,1,3
460,1,4,1,1,4,4,1,0,0,1,2
461,0,3,0,0,2,0,1,0,4,1,0
462,1,4,1,0,3,2,0,1,5,1,2
463,1,5,0,0,0,0,0,0,4,1,0
464,0,5,0,0,4,3,1,1,5,0,4
465,0,3,1,0,4,4,1,0,0,1,3
466,1,2,1,0,3,2,1,0,0,1,0
467,1,2,1,0,3,2,0,0,0,1,0
468,1,5,1,0,1,4,1,0,0,1,1
469,0,4,1,0,4,3,1,1,5,0,4
470,1,3,1,1,4,4,0,1,5,1,0
471,1,2,0,1,0,0,1,0,0,1,0
472,1,4,2,0,3,4,1,1,4,1,3
473,1,4,1,0,3,3,0,0,5,1,0
474,1,3,1,0,3,0,0,0,5,1,1
475,1,2,0,0,2,3,1,1,0,1,2
476,1,2,0,1,0,0,1,0,4,1,1
477,1,2,2,1,1,0,1,1,5,0,0
478,1,3,3,0,1,0,0,1,5,1,0
479,1,4,1,1,3,4,1,0,5,1,2
480,1,4,1,1,1,1,0,0,5,0,1
481,1,3,1,1,3,3,1,0,5,1,1
482,1,3,1,1,4,3,0,1,5,1,0
483,0,3,2,0,1,0,0,0,0,1,1
484,0,4,1,0,3,0,1,0,0,1,0
485,1,4,1,1,4,4,0,0,0,1,2
486,1,2,0,0,0,0,1,0,0,1,0
487,1,2,0,0,2,0,0,0,4,1,1
488,1,3,0,1,0,0,1,0,4,1,1
489,1,3,0,0,4,0,1,1,2,1,0
490,1,3,3,0,1,0,1,1,5,1,0
491,1,4,2,0,3,4,0,1,5,1,3
492,0,3,1,0,3,1,0,1,0,1,0
493,1,2,0,0,2,3,1,1,0,1,2
494,1,4,0,1,0,4,1,0,0,1,4
495,1,2,0,0,0,0,0,0,0,1,0
496,1,4,0,0,0,0,1,0,4,1,0
497,1,3,2,0,3,3,1,1,5,1,3
498,1,2,1,1,3,2,1,0,0,1,0
499,1,4,2,0,1,3,1,1,0,1,0
500,1,2,0,1,2,1,0,1,0,0,2
501,1,3,0,1,0,1,0,1,2,0,0
502,1,2,0,1,0,0,1,0,4,1,0
503,1,4,2,1,3,0,0,1,4,0,3
504,0,3,0,1,3,0,0,0,2,1,0
505,1,3,2,0,3,3,1,1,5,1,3
506,0,5,1,0,4,3,1,1,5,1,4
507,0,4,3,0,1,0,1,0,0,1,1
508,1,2,0,1,2,3,0,1,0,0,2
509,1,4,3,0,3,2,1,1,4,0,3
510,0,5,0,0,0,0,1,0,4,1,1
511,1,3,2,1,3,4,0,1,5,1,2
512,1,4,1,1,1,1,1,0,5,0,1
513,1,5,1,0,1,4,0,0,5,1,1
514,1,4,0,0,0,1,1,0,5,1,3
515,0,4,1,0,3,4,1,0,0,1,0
516,1,2,0,1,2,1,0,1,0,0,2
517,1,2,0,1,0,0,1,0,0,1,0
518,1,5,1,0,1,0,1,0,0,1,1
519,1,2,0,1,2,3,0,0,0,1,3
520,1,2,0,0,2,0,1,0,0,1,2
521,0,3,0,1,3,0,1,0,2,0,0
522,1,4,1,1,3,0,0,0,5,0,3
523,1,2,0,1,4,0,1,0,5,0,2
524,0,5,1,0,4,3,1,1,5,0,4
525,1,3,1,0,3,0,0,0,5,1,1
526,1,2,0,0,0,0,1,0,0,1,0
527,1,3,1,0,3,3,1,0,5,0,3
528,1,4,0,0,0,1,0,0,5,1,3
529,1,3,2,1,1,0,0,0,0,0,1
530,1,3,0,1,2,1,0,0,2,0,4
531,0,5,1,0,1,1,0,0,1,1,0
532,1,4,1,0,3,4,0,0,5,1,2
533,1,4,1,1,3,3,1,0,5,0,3
534,1,3,0,1,3,1,1,0,5,0,3
535,0,4,1,1,3,1,0,0,0,0,2
536,0,2,1,1,3,4,0,0,0,1,0
537,1,2,0,1,0,0,0,0,0,0,0
538,1,4,1,1,3,4,0,0,5,1,2
539,1,4,0,0,0,3,0,0,5,1,2
540,0,4,1,1,4,4,0,0,0,1,3
541,1,5,2,0,1,2,1,1,2,1,3
542,1,2,0,1,4,0,1,0,5,0,2
543,1,3,0,1,3,3,1,0,5,1,0
544,0,4,1,1,4,1,0,0,0,0,2
545,1,2,0,1,0,0,0,0,0,1,0
546,1,2,0,1,0,0,1,0,0,1,0
547,1,5,1,0,1,4,1,0,0,1,1
548,1,4,1,0,4,4,1,0,0,1,2
549,1,4,2,1,1,2,1,1,2,1,2
550,1,3,0,1,0,0,0,1,2,1,3
551,1,4,0,0,0,1,1,0,5,1,3
552,1,2,0,1,2,1,0,1,0,0,2
553,1,4,1,1,4,4,0,0,0,1,3
554,1,3,0,0,0,0,1,0,2,1,1
555,1,4,0,0,2,3,0,0,4,1,3
556,1,3,1,1,3,0,0,0,5,0,1
557,1,4,0,0,0,3,1,0,5,1,2
558,1,2,0,1,2,0,1,0,0,1,3
559,1,2,0,1,2,1,1,0,0,1,3
560,1,3,1,1,4,0,0,0,4,1,1
561,1,4,1,1,3,4,1,0,5,1,2
562,1,3,1,0,4,1,0,0,5,1,1
563,1,2,0,1,0,1,1,1,5,1,3
564,1,4,1,0,4,3,0,0,1,1,3
565,0,4,1,1,3,4,1,0,0,1,2
566,1,2,0,1,2,1,0,0,0,0,2
567,1,5,2,1,1,0,1,1,4,0,2
568,1,4,0,0,2,3,0,1,3,1,2
569,1,5,1,1,1,4,0,0,1,1,1
570,1,3,1,0,3,0,1,0,5,1,1
571,1,5,0,0,0,4,1,0,0,0,3
572,1,3,0,1,0,0,1,1,2,1,3
573,1,5,0,0,0,1,0,0,0,0,3
